ZCTA,2015_Total_Units,2015_Occupied_Units,2015_Vacant_Units,2015_Median_Rooms,2015_Owner_Occupied_Units,2015_Rental_Occupied_Units,2015_Median_Value,2015_Median_Monthly_Costs,2015_Median_Rent
43002,"1,659","1,567",92,5.2,"1,378",189,"158,000","1,396","1,289"
43004,"9,314","9,074",240,5.9,"6,488","2,586","156,600","1,481",865
43016,"14,399","13,978",421,5.8,"7,790","6,188","255,100","2,149","1,072"
43017,"14,865","14,255",610,7.4,"10,315","3,940","310,000","2,187","1,111"
43026,"22,715","21,992",723,6.0,"16,030","5,962","184,200","1,628",856
43031,"5,379","4,755",624,6.4,"3,846",909,"182,300","1,542",780
43035,"9,028","8,695",333,7.3,"6,983","1,712","264,500","2,037",951
43054,"8,871","8,467",404,6.9,"6,354","2,113","301,600","2,346","1,218"
43062,"10,886","10,143",743,6.5,"8,037","2,106","168,300","1,527","1,038"
43064,"5,147","4,921",226,6.8,"4,021",900,"222,200","1,654",652
43065,"14,738","14,113",625,8.0,"12,458","1,655","302,000","2,164","1,030"
43068,"22,356","21,206","1,150",5.7,"11,971","9,235","134,600","1,368",863
43081,"24,515","23,195","1,320",5.9,"14,504","8,691","176,600","1,552",994
43085,"10,504","10,211",293,6.4,"7,376","2,835","220,200","1,607","1,009"
43109,40,40,0,6.2,27,13,"94,400","1,125","1,083"
43110,"14,378","13,253","1,125",5.6,"8,531","4,722","157,200","1,480",890
43119,"10,416","9,943",473,6.0,"7,004","2,939","135,800","1,337",840
43123,"25,373","23,044","2,329",6.1,"16,441","6,603","148,600","1,452",891
43125,"5,947","5,403",544,5.7,"3,362","2,041","128,800","1,319",843
43126,181,159,22,6.0,101,58,"108,200","1,144",760
43137,844,637,207,5.4,558,79,"109,200",926,"1,250"
43140,"8,299","7,645",654,5.7,"5,013","2,632","147,000","1,268",783
43146,"3,455","3,243",212,6.2,"2,858",385,"156,900","1,392","1,048"
43147,"14,351","13,664",687,7.5,"11,356","2,308","187,600","1,705","1,018"
43201,"15,115","11,508","3,607",4.6,"2,080","9,428","203,700","1,554",858
43202,"10,551","9,707",844,5.1,"3,205","6,502","176,800","1,449",851
43203,"4,912","3,429","1,483",5.0,822,"2,607","86,400","1,200",623
43204,"19,255","15,560","3,695",5.5,"7,550","8,010","98,300","1,087",855
43205,"7,271","5,205","2,066",5.7,"1,791","3,414","102,800","1,120",690
43206,"12,275","9,783","2,492",5.5,"4,491","5,292","97,100","1,214",854
43207,"20,172","17,185","2,987",5.3,"9,933","7,252","84,600","1,039",821
43209,"12,594","11,566","1,028",5.7,"6,527","5,039","206,000","1,594",790
43210,387,279,108,3.2,0,279,-,-,599
43211,"10,527","8,079","2,448",5.3,"3,022","5,057","57,500",853,762
43212,"11,156","9,693","1,463",4.5,"3,749","5,944","269,500","1,879",861
43213,"15,665","13,916","1,749",4.8,"4,688","9,228","97,700","1,112",771
43214,"13,162","12,323",839,5.8,"7,878","4,445","211,200","1,575",823
43215,"9,281","8,170","1,111",3.3,"1,728","6,442","254,700","1,975",920
43217,864,767,97,5.1,25,742,"28,300",810,850
43219,"12,401","10,867","1,534",5.1,"4,936","5,931","82,800","1,062",795
43220,"12,754","11,857",897,5.6,"6,536","5,321","257,600","1,720",864
43221,"13,903","13,150",753,6.6,"9,659","3,491","239,600","1,816","1,018"
43222,"1,838","1,307",531,5.7,442,865,"54,200",774,719
43223,"11,017","8,524","2,493",5.3,"4,006","4,518","79,000",999,734
43224,"18,876","16,274","2,602",5.0,"7,866","8,408","86,500",993,678
43227,"10,291","8,841","1,450",5.2,"4,483","4,358","80,300","1,020",777
43228,"23,752","21,228","2,524",4.9,"9,185","12,043","110,700","1,244",773
43229,"22,243","20,011","2,232",5.1,"8,149","11,862","120,000","1,201",763
43230,"22,879","22,120",759,6.1,"14,496","7,624","169,200","1,497",985
43231,"8,627","7,812",815,5.3,"4,202","3,610","126,800","1,332",847
43232,"20,267","17,430","2,837",5.0,"7,233","10,197","93,000","1,126",737
43235,"18,929","17,941",988,5.3,"9,405","8,536","211,900","1,646",962